"","title_kr","title_en","content","time","director","country","year"
"895","페어 플레이","Fair Play","1980년 체코슬로바키아. 젊고 재능 있는 육상선수 안나는 올림픽 국가대표 출전을 목표로 훈련에 임한다. 최고의 기록을 내기 위해 코치와 의사는 그녀의 어머니의 협조 하에 안나 몰래 단백동화 스테로이드제를 처방한다. 매일 저녁 주사를 맞던 중 어느 날 진실을 알게 된 안나는 분노하며 약을 끊게 되고, 그 결과 달리기 기록이 나빠진다. 한편 그녀의 어머니는 남편이 서방으로 망명한 이래 온갖 불...","99min","
				안드레아 세들라코바","Czech Republic/Slovak Republic/Germany","2014"
"896","페이스 오브 엔젤","The Face of an Angel","영화 감독인 토마스는 자신의 차기작을 위해 이태리에서 유학 중이었던 두 여학생의 살인사건을 재조사 하러 나선다. 주변 인물들과 그때 당시 취재를 했었던 기자들을 만나면서 석연치 않게 마무리 되었던 사건의 내막을 파헤치려 하지만 진실은 점점 멀어져만 간다. 별거 중인 딸에 대한 그리움과 전혀 진척의 기미를 보이지 않는 취재로 점점 자신이 하고 있는 일에 회의를 느끼고 있을 때쯤 젊은 영국 유학...","101min","
				마이클 윈터버텀","United Kingdom","2014"
"897","펠리시타","Felicita","3대를 이어온 여성감독가문의 막내 살로메 알렉시의 단편. 이탈리아에서 환자를 돌보며 불법노동자로 일하는 타마라는 고향의 남편이 죽어도 그저 전화를 통해 곡을 할 수 있을 뿐이다. 망자에 대한 애곡은 조지아에서 특별한 의미를 가지고 있는데, 전화를 통한 애곡이라는 독특한 설정을 통해 행복을 찾아 타국으로 떠난 이민자의 삶과 애환을 아이러니하고 독특한 시선으로 담아냈다. 경제적 어려움으로 인해 ...","32min","
				살로메 알렉시","Georgia/Georgia","2014"
"898","폭력에 관하여","Concerning Violence","영화는 책으로 가득한 책장 앞에 앉아 차분하게 글을 읽어 내려가는 한 노학자의 모습으로 시작한다. 탈식민주의의 대모 가야트리 스피박이다. 유럽 식민주의로부터의 해방을 위해 여성들은 어떻게 전선에 뛰어들었나 조용히 하지만 단호하게 읊조리는 스피박의‘ 서문’이 끝나면 모잠비크 해방전선의 여성전사들의 인터뷰가 이어진다. 인터뷰 화면은 이내 아프리카 곳곳에 남겨진 식민주의의 흔적들을 보여주는 또 다...","85min","
				요란 올손","Sweden/Finland/Denmark/United States","2014"
"899","표적","The Target","살인사건 용의자 여훈이 총상을 입고 의식을 잃은 채 응급실로 실려온다. 그때 응급실에서 여훈을 담당한 의사 태준의 집에 괴한이 찾아와 태준의 아내를 납치하는 사건이 벌어진다. 납치범은 태준에게 전화를 걸어 여훈을 살려내 자신에게 데려오라고 한다. 태준은 납치된 아내를 살리기 위해 여훈을 경찰 몰래 빼돌려야 한다. 추격과 반전이 이어지는 액션영화로 프랑스영화 (2010)를 리메...","102min","
				창감독","Korea","2014"
"900","푸송 바토: 차가운 마음","Stone Heart","국가보다 더 자주 불린다는 필리핀 국민가요 푸송 바토. 돌같이 차가운 마음이란 뜻의 이 노래를 모티브로 삼아, 화려했던 과거를 회상하며 쓸쓸하게 살아가는 중년 여배우의 현재를 독특하고 기괴한 상상력과 감각적인 영상으로 그려낸 작품. (김영우)","20min","
				마티카 라미레즈 에스코바르","Philippines","2014"
"901","품행","Behavior","찰라는 말썽꾸러기 문제아지만 약물중독자인 홀어머니를 대신해 생계를 책임지는 속 깊고 씩씩한 소년이다. 그런 그를 이해하는 건 은퇴를 앞둔 노선생님 카르멜라 뿐이다. 새로 부임온 찰라의 담임은 생계를 위해 불법 개싸움에까지 가담한 찰라를 교정시설에 보내기로 한다. 카르멜라는 엄마를 책임지고 어떻게든 살아보려는 찰라의 편에 서서 그 계획에 반대하지만, 찰라의 삶은 나아지지 않고 카르멜라의 노력도...","108min","
				에르네스토 다라나스","Cuba","2014"
"902","하늘 높이","Aloft","예술가이자 치유의 힘을 가진 한 어머니가 있고, 그녀와 오랜 세월을 떨어져 살 수밖에 없었던 아들이 있다. 모자 간의 이런 공간적, 심리적 거리는 아들의 어린 시절에 발생한 어떤 사건에서부터 연유한다. 어느 날 매부리가 되어 살아가던 아들에게 한 여기자가 찾아오고, 그녀의 출현은 모자의 재회로 이어진다. 어머니, 아들, 기자, 이렇게 세 인물을 중심으로 과거와 현재를 오가며 전개되는","112min","
				클라우디아 로사","Spain/Canada/France","2014"
"903","하숙생","A Student Boarder","하숙집에 새로 들어온 청년은 아코디언 연주자다. 3년전 화상을 입고 성형수술을 했으며 이름을 인석에서 민구로 바꿨다는 그는 수시로 아코디언으로 같은 멜로디를 연주한다. 옆집 부자 노인의 두 번째 아내인 황재숙은 아코디언 소리를 듣고 기겁한다. 그것은 3년전 자신이 버리고 떠난 약혼자 인석이 연주하던 아코디언 멜로디였기 때문. 재숙은 인석을 만나 잘못을 빌지만 인석은 자신을 버린 재숙을 용서하...","103min","
				정진우","Korea","2014"
"904","하얀 까마귀","The White Crow","10대 소년 시절 안성기를 만날 수 있는 영화. 한국전쟁 도중인 1951년, 친구인 상한과 동인은 밀수업을 하는 노상출의 돈 이천만원을 부산으로 운반하는 일을 맡는다. 도중에 아내를 데리러 간 동인이 행방불명 되고 5년의 세월이 흐른다. 상한은 그 동안 가구사업을 크게 벌려 성공하고 남편의 생사를 모른 채 홀로 된 동인의 아내와 두 아이를 돌본다. 차츰 동인의 아내를 사랑하게 된 상한은 결혼...","100min","
				정진우","Korea","2014"
"905","하얀 참새","White Sparrow","말을 못하는 소년은 자신만의 세계에서 살고 있다. 말은 할 수 없지만 타인과의 소통에 아무런 불편함이 없는 소년은, 자신만의 세계 속에서 새처럼 날 수도 있고 달에서 꽃을 따올 수도 있다. 타지키스탄에서 날아온 아름다운 한 편의 동화. (김영우)","20min","
				딜로바 슐토노프","Tajikistan","2014"
"906","하이더","Haider","국경분쟁으로 혼란스러운 카슈미르 지역의 마을. 부상당한 반군 지도자를 치료하던 의사가 누군가의 신고로 출동한 군대에 의해 수용소로 끌려간다. 타 도시로 떠나 있던 하이더는 아버지의 소식을 듣고 고향마을로 돌아오지만, 그가 목격하는 건 실의에 빠져 있는 어머니와 그녀를 옆에서 지키고 있는 삼촌과의 미묘한 관계. 둘의 관계를 의심하면서도, 하이더는 수용소로 끌려간 아버지를 찾기 위해 백방으로 노...","154min","
				비샬 바르와지","India","2014"
"907","한강블루스","Han River","천주교 사제인 명준은 과거 자신을 사랑했던 여인이 자살하자 자신도 목숨을 끊겠다며 한강 다리난간에 올라간다. 자살하려는 명준 앞에 나타난 노숙자 장효는 자신이 동료 노숙자들과 내기를 했고 명준이 다리에서 못 뛰어내린다, 에 돈을 걸었다고 말한다. 명준은 한강에 뛰어내리고 장효가 그를 건져 살려낸다. 명준은 장효 일행과 함께 하게 된다. 장효와 함께 노숙하는 트랜스젠더 추자는 딸과 사이가 나쁘...","85min","
				이무영","Korea","2014"
"908","한여름의 판타지아","A Midsummer's Fantasia","한국의 영화감독이 통역을 맡은 조감독 미정과 함께 일본의 지방 소도시 고조를 찾는다. 영화는 두 부분으로 나뉘는데 1부는 감독이 고조시에서 인상 깊은 인물들을 만나는 이야기이고, 2부에선 1부의 사연에 영감을 얻은 듯한 픽션이 펼쳐진다. 흑백 화면에 다큐멘터리 스타일로 연출된 1부는 고조시에 일하는 공무원, 한때 대도시에서 영업 일을 하다 고향인 고조시로 돌아온 중년남자, 평생 고조 근처 시...","96min","
				장건재","Korea/Japan","2014"
"909","해무","Haemoo","IMF로 경제적 어려움에 시달리던 시기, 고기잡이로 먹고 사는 어촌의 상황도 다른 데에 비해 나을 것이 없다. 고장이 잦아 빨리 처분해야 할 낡은 어선, 전진호의 선장 철주는 목돈을 벌기 위해 중국에서 밀항하는 사람들을 배에 태운다. 감시의 눈을 피해가며 항구로 돌아가던 전진호가 뜻하지 않은 사건에 휘말린다. (2003) 시나리오를 봉준호 감독과 함께 썼던 심성보 감독의 데뷔작...","111min","
				심성보","Korea","2014"
"910","해적: 바다로 간 산적","The Pirates","조선 개국 무렵, 중국에서 조선의 개국을 인정하는 증표로 준 국새를 고래가 삼키는 사건이 벌어진다. 국새를 찾기 위해 해적과 산적이 나서는데 정작 국새를 누가 찾느냐는 중요하지 않다. 영화는 국새 찾기 소동에 등장하는 다양한 인물의 코미디에 집중한다. 해적은 잔인한 두목 소마와 그에게 반기를 든 여자두목 여월의 대결로, 산적은 조선 개국 세력과 그에 반기를 든 장사정의 대결로 시작된다. 뱃멀...","129min","
				이석훈","Korea","2014"
"911","허공속에 나부끼다","Flapping in the Middle of Nowhere","판당디 감독의 (2010, 부산국제영화제 아시아영화의창)를 제작한 딥 응유엔 호앙의 감독 데뷔작. 하노이에 살고 있는 학생인 후옌은 임신 사실을 알게 되자 낙태를 결심한다. 하지만 남자친구인 퉁은 변변치 않은 벌이에 투계에 빠져 그나마 있던 모든 돈을 잃고 잠적해버린다. 시간은 자꾸 흘러 배는 불러오는데 생활비조차 어려운 처지에 수술을 위한 비용을 마련하는 것은 요원해 보인...","103min","
				딥 응유엔 호앙","Vietnam/France/Germany/Norway","2014"
"912","허들","Hurdle","치매에 걸린 어머니와 사는 여자가 있다. 딸은 어머니를 감당하기 힘들어 애를 먹는다. 어느 날 TV에서 허들 경기를 본 딸은 어머니를 데리고 운동장에 나가 장애물 뛰어넘는 연습을 시킨다. (남동철)","11min","
				박성진","Korea","2014"
"913","현기증","Entangled","데뷔작 (2012)으로 뉴 커런츠 섹션에 초청됐던 이돈구 감독은 두 번째 영화 에서도 돌이킬 수 없는 비극을 다룬다. 네 식구가 사는 집이 있다. 어머니와 결혼한 큰 딸 영희, 고등학생인 작은 딸 꽃잎, 그리고 영희의 남편 상호가 한 집에 살고 있다. 영희가 아이를 낳자 가족 모두는 행복감에 젖지만 어머니의 치명적인 실수로 아이가 죽는 사고가 발생한다. 영희는 아이의 죽음에...","94min","
				이돈구","Korea","2014"
"914","형제","Brother","정치적으로 혼란한 시기를 배경으로, 점점 수렁으로 빠져들어가는 형과 피아노에 재능을 가진 동생에 대한 이야기를 들려준다. 피아노에 재능을 가진 피아니스트 다투나는 피아노 연주가 유일한 놀이이자 취미이다. 그런 다투나에게는 친구같은 형이 있지만, 형은 동네친구들과 어울리며 점점 폭력과 악의 수렁으로 빠져 들어간다. 괴물이 되어가는 형과 여린 영혼을 지닌 동생의 관계, 그리고 가족과 이웃들의 일...","99min","
				테오나 므흐브델라제,티에리 그레나데","Georgia/France","2014"
"915","호프","Hope","카메룬 청년 레오나르는 사하라 사막을 건너 유럽을 향하던 길에 강간 당한 나이지리아 출신의 호프를 만나 함께 데리고 간다. 유럽이 얼마 남지 않은 지점에는 아프리카 국가별로‘ 게토’들이 형성되어있고, 카메룬 게토에 들어간 둘은 그곳의 규칙에 따라 어쩔 수 없이 결혼한다. 레오나르는 호프의 매춘을 통해 불법 입국에 필요한 돈을 마련한다. 아프리카에서 유럽으로 향하는 불법이민의 흐름이 영화에서 ...","92min","
				보리스 로즈킨","France","2014"
"916","화이트 갓","White God","은 13살 소녀와 그녀의 애견 하겐 간의 유대를 통해 개들에 대한 학대를 암묵적으로 비판하는 영화다. 그러나 단순 비판을 넘어 인간에 대한 개의 역습이라는 탁월한 발상으로 빛을 발하며, 개들의 연기는 자연스레 감정이입이 될 만큼 훌륭하다. 인간에게 복종한 뒤 쉽게 버려지는 운명을 겪는‘ 인간의 친구’ 개들이 마침내 구속을 떨치고 자유로워지는 것을 보면 일면 통쾌하기까지 하다. 그...","121min","
				코르넬 문드럭초","Hungary","2014"
"917","화장","Revivre","화장품 회사에서 능력을 인정받으며 성실한 가장으로 살아온 오상무. 어느 날 그는 아내가 암에 걸린 사실을 알게 된다. 수술을 하고 입원을 한 아내의 곁을 지키기 위해 오상무는 매일 병실에서 아내의 침대 옆 보조침대에서 잠을 잔다. 병든 아내의 뒷바라지를 하느라 피곤하지만 회사에선 내색 하지 않고 일을 하던 오상무에게 마음에 파문을 일으키는 일이 생긴다. 새로 회사에 들어온 여사원 추은주의 존...","93min","
				임권택","Korea","2014"
"918","황금시대","The Golden Era","1930년대 중국의 천재작가로 손꼽히는 샤오홍의 일대기를 그린 대하드라마로 당대 홍콩의 거장감독 허안화에 의해 완성된 작품이다. 영화는 샤오홍의 독백으로부터 시작하여 동료 작가들, 문학지 편집인 등의 회고와 샤오홍이 연인 샤오준과 주고받은 편지 등 다양한 방식으로 샤오홍의 삶을 서술해 나간다. 어린 시절 집을 뛰쳐나와 하얼빈으로 이주한 샤오홍은 왕은지아와 사랑에 빠지지만 버림받고, 이후 만난...","178min","
				허안화","China/Hong Kong, China","2014"
"919","황무지","Waste Land","브뤼셀의 강력반 형사 레오는 애인과 그녀의 다섯 살 난 아들과 살고 있다. 가정과 일을 조화롭게 오가던 그는 애인이 임신했다는 소식을 들은 이후 번민에 빠진다. 콩고 출신 미성년 남자가 살해된 채 발견되고 사건을 수사하면서 그 남자의 누나인 아이샤의 매력에 점차 끌려들어간다. 벨기에 작가 피터 반 히스가 오랜만에 내놓은 신작 는 브뤼셀을 범죄가 판치는 음침한 도시로 그린 미스터리 스...","97min","
				피터 반 히스","Belgium","2014"
"920","회광 소나타","Exit","가족과 사회로부터 소외된 중년 여인이 여성으로서의 자아를 깨닫지만, 여전히 변화하지 않는 현실과 맞부딪히는 여성영화. 공장에서 재봉사로 일하는 링에게는 중국본토로 일하러 떠난 남편과 집을 나간 딸이 있다. 그녀는 짬짬이 병원에 입원해 있는 시어머니를 돌본다. 어느 날, 시어머니 옆 병상에 눈을 크게 다쳐 앞을 보지 못하는 중증환자가 입원한다. 안쓰러운 마음에 그를 도와주던 링은 점점 그에게 ...","94min","
				치엔 시앙","Taiwan/Hong Kong, China","2014"
"921","후쿠시마에서 부르는 자장가","A Lullaby Under the Nuclear Sky","카나 토모코는 다큐멘터리 감독이자 원전에서 생산된 전기를 사용한 시민으로서 책임을 느끼며 대지진 이후 방사능이 누출된 후쿠시마 원전사고지역에 잠입해 당시의 상황을 기록한다. 그 후 도쿄로 돌아온 감독은 곧 임신을 했다는 놀라운 소식을 듣게 된다. 임신은 더할 나위 없이 기쁜 일이지만 그녀가 노출됐던 방사능의 영향을 알 수 없기에 공포스러운 소식이기도 했다. 그러면서 감독은 자신의 몸이 곧 후...","69min","
				카나 토모코","Japan","2014"
"922","희생양","The Lamb","터키 아나톨리아 동부에 위치한 산골마을. 메딘은 전통에 따라 아들 메르트의 할례식 이후 손님들을 초대하여 구운 양고기 요리를 대접하고자 한다. 문제는 남편이 실직자라는 것. 한편 남동생이 받는 관심에 질투가 난 누나는 양을 못 사면 메르트 자신이 희생될 것이라고 동생에게 거짓말을 한다. 눈 덮인 마을의 정경을 줄곧 스틸 사진의 느낌으로 담아내는 은 산과 숲, 물로 대변되는 자연과 그...","87min","
				쿠툴룩 아타만","Turkey/Germany","2014"
"923","A Rose Reborn","A Rose Reborn","회사가 어려워지자 주인공에게 수수께끼를 좋아하는 한 중국인 투자자를 만나라는 임무가 주어진다. 주인공은 중국인 투자자를 만나러 예측할 수 없는 여행을 떠난다. (남동철)","20min","
				박찬욱","Italy","2014"
"924","half","half","트랜스젠더 바에서 일하는 민아는 남자의 성기를 가진 여성이다. 바에서 함께 일하던 동료가 남자에게 폭행을 당하는 걸 보고 동료를 지켜주려다 가해자 남성을 죽이는 사고가 난다. 민아는 법정에서 동료를 지키기 위한 어쩔 수 없는 행동이었다고 주장하지만 재판은 그녀에게 유리하게 돌아가지 않는다. 민아의 성 정체성을 멋대로 이용하는 검찰 측은 사건을 치정에 의한 살인인 것처럼 몰아가고 민아를 변호하...","110min","
				김세연","Korea","2014"
"925","W","W","대학에 입학한 능은 시험점수에 맞춰 전공으로 스포츠과학을 선택한다. 즐겨 하지 않았던 스포츠를 전공해야 하는 것도, 살던 곳으로부터 멀리 떨어져 기숙사 생활을 해야 하는 것도, 새로운 친구들과 어울리는 것도 모두 낯설기만 하다. 어느 날 능은 우연히 플로이의 도움을 받고 둘은 각별한 친구가 된다. 늘 밝아 보였던 플로이는 한날 한시에 태어난 쌍둥이 언니의 죽음이라는 아픈 트라우마를 홀로 간직...","130min","
				촌라싯 우파닉킷","Thailand","2014"
"926","X + Y","X + Y","세상과 교류하기 보다는 자신만의 세계에 빠져있기를 좋아하는 네이단은 숫자와 수학에 몰두하며 그 안에서 안락함과 안전함을 찾는다. 독특하면서도 괴짜인 스승 미스터 험프리의 지도를 받는 그의 수학적 재능은 권위 있는 국제수학올림피아드의 영국 대표 팀에 선발되고도 남을 정도이다. 하지만 영국 대표 팀이 대만으로 전지 훈련을 떠나면서, 그는 여러 가지 돌발적인 도전들을 상대하게 되고 특히 대만 대표...","111min","
				모건 매튜스","United Kingdom","2014"
"927","10분","10 Minutes","윤태호의 웹툰 『미생』에 비견될 만큼 직장 묘사의 디테일이 살아있는 작품. 방송국 시험을 준비하던 청년은 아르바이트 삼아 준공무원 조직에서 인턴사원으로 일하게 된다. 잠시 용돈벌이로 시작한 일이건만 정규직으로 쓰고 싶다는 부장의 제안에 마음이 흔들린다. 채용된 거나 마찬가지라 여기며 면접을 본 다음 주위의 축하까지 받았는데 정작 정규직 자리는 다른 사람이 차지한다. 부당한 처사라는 노조지부장...","93min","
				이용승","Korea, South","2013"
"928","24개의 눈동자","Twenty-Four Eyes","섬마을의 한 분교에 오이시라는 젊은 여선생이 부임해온다. 양장을 입고 자전거를 타고 등교하는 여선생의 모습에 섬마을의 어른들은 당황해 하지만, 아이들은 선생님을 따른다. 오이시 선생은 점차로 섬마을에 동화되어 가지만, 결혼으로 인해 학교를 떠난다. 태평양 전쟁이 일어나고 선생의 제자들은 전쟁에 나가 차례로 죽게 된다. 전쟁이 끝난 후 선생은 다시 섬마을의 분교로 돌아오고, 어렸던 제자들은 선...","156min","
				기노시타 게이스케","Japan","2013"
"929","3X3D","3X3D","2천 년의 역사를 가진 포르투갈의 고도 기마랑이스를 소재로 두 거장 감독 장 뤽 고다르와 피터 그리너웨이 그리고 포르투갈의 실험영화 감독 에드가 페라가 각자의 에피소드를 만들어 한데 묶었다. 그들은 3D 효과가 관객의 지각에 어떤 영향을 끼치는지에 대한 탐구를 보여준다. 이 영화는 기마랑이스가 2012년 유럽문화도시로 선정된 것을 기념하여 포르투갈 자본으로 기획되었으며 세계적인 감독들의 참여...","62min","
				장 뤽 고다르,피터 그리너웨이,에드가 페라","Portugal","2013"
"930","가난한 사람들","Poor People","이 코미디에서 마흐무드는 축구경기 티켓을 이웃에 사는 노르마트에게 준다. 그런데 경기 당일 축구장에서는 추첨이 이루어지고 이 티켓 주인은 새 자동차를 당첨 받게 된다. 노르마트는 신이 나지만 한편으로는 마흐무드가 자동차를 내놓으라고 할까 봐 걱정이 된다. 다음날, 개인 소유 교외지인 마할리야에서 자동차의 진짜 주인이 누구인가에 대한 분쟁이 일어난다. 마흐무드와 노르마트는 서로에게 너무나 화가...","43min","
				자항기르 카시모프","Uzbekistan","2013"
"931","가족투어","Family Tour","1년간 멕시코에서 생활한 릴리는 방학을 맞아 고향 스페인을 찾는다. 그녀는 괴짜 어머니가 이끄는 대로 가족사와
유년기의 정경들을 훑으며 한 달에 걸쳐 여러 가족들을 방문하는 투어에 오른다. 어머니, 여동생 및 여러 친척들과 대화하는 과정에서 속내 깊이 묻어뒀던 좌절감과 유전적인 자신의 결점에 직면하게 되지만 유머감각을 잃지 않는다.
이 영화는 인물이 가족과 보내는 한 달 동안이 시간적 배...","80min","
				릴리아나 토레스","Spain","2013"
"932","갈망아지","Yellow Colt","몽골 대초원에서 말을 기르며 사는 유목민 가족 바담가의 막내 아들이 집으로 돌아왔다. 3살 때 큰 삼촌에게 입양 되었던 갈트는 양아버지가 세상을 떠나자 엉엉 울었지만 이내 노란 망아지 한 마리에 마음을 빼앗긴다. 마을 경마 대회를 앞두고 소년은 어디서 왔는지 알 수 없는 망아지를 데리고 은밀히 훈련에 돌입한다. 몽골에서 온 는 한때 이란영화와 더불어 '착한 영화'의 계보에 놓일 법...","91min","
				코롤도즈 초이주반지그","Mongolia","2013"
"933","감시자들","Cold Eyes","범죄자를 추적하기 위해 만들어진 특수조직인 경찰 감시반. 그들은 최근 무장을 한 은행강도단을 쫓고 있다. 경찰의 추격을 절묘하게 따돌리는 강도단을 잡기 위해 그들은 용의자 주변에서 감시 활동을 벌인다. 홍콩영화 을 리메이크한 영화로 원작에 비해 스케일이 크고 액션도 화려하다는 평가를 얻었다. 영화의 중심은 경찰 감시반을 이끄는 능력 있는 감시반장과 엄청난 기억력을 가진 여자 신참...","118min","
				조의석,김병서","Korea, South","2013"
"934","개구쟁이 보카의 대모험","Bonta","중국 애니메이션의 새 지평을 연 작품. 개구장이 꼬마 친구 보카는 어느 날 자기네 부족 바라부 사람들이 굶주리고 있는 현실을 깨닫고 신비의 풀을 찾아 대 모험의 여행을 떠난다. 바라부 부족들의 주 식량이었던 본타 숲의 신비로운 풀을 찾아 부족도 살리고 영웅이 되고 싶은 꿈을 이루고자 친구 니팝과 먼 길을 재촉하는데 생각만큼 모험의 길은 쉽지만은 않다. 본타 숲을 차지하려는 리자 킹의 방해로 ...","83min","
				리 레오","China","2013"
"935","개러지","Garage","2004 코메디 드라마 을 만든 레니 에이브러햄슨과 마크 오할로란 팀이 다시 뭉쳐 만든 영화로, 유명한 아일랜드 출신 코메디언 팻 쇼트가 연기한 중년의 외로운 자동차 정비공에 관한 영화. 어린 청소년을 떠맡게 된 조시는, 자신들의 우정으로 인해 남들에게 오해를 받고 나아가 사회적 관계 역시 위협받게 된다. 오할로란의 잘 짜인 각본과 에이브러햄슨의 우아한 연출, 그리고 피터 로빈슨...","85min","
				레니 에이브러햄슨","Ireland","2013"
"936","개벽","Fly High, Run Far","19세기 중반, 조선 민중은 새로운 종교운동인 동학에 열광한다. 1대 교주가 사형당한 뒤 2대 교주가 된 최시형은 포교에 성공해 동학은 전국적인 조직을 갖추게 된다. 그러나 정부의 탄압이 심해진데다, 무장 봉기를 주장하는 전봉준의 항명으로 최시형은 곤경에 처한다. 개봉 당시에는 상대적으로 저평가되었지만 날이 갈수록 평판이 높아지고 있는 또다른 걸작. 가 감성의 영화라면 은 이...","146min","
				임권택","Korea, South","2013"
"937","거리에서","Jalanan (""Streetside"")","인도네시아의 수도 자카르타에는 거리에서 노래를 팔아 생계를 유지하는 ‘버스커’들이 7천명에 이른다. 영화는 이 중 세 사람의 삶을 따라간다. 다리 밑에 거처를 마련하고 살아가는 티티, 사랑을 찾아 가정을 꾸리고 싶은 호 그리고 더 나은 삶을 꿈꾸며 검정고시를 준비하는 보니가 그들이다. 다니엘 지브 감독은 5년간 이들의 삶을 따라가며 화려한 도시 자카르타의 어두운 단면을 드러낸다. 그러나 이들...","107min","
				다니엘 지브","Indonesia","2013"
"938","경계에서 꿈꾸는 집","Dream House by the Border","“사람이 집을 만든다. 집이 사람을 만든다.” 영화는 사람들이 거주하는 집을 화두로 그 집에 배여있는 흔적을 통해 분단의 아픔을 겪고 있는 한국 근 현대사를 조망한다. 철책을 곁에 두고 살아가는 통일촌 철원 마을 주민은 개척민으로 혹은 북을 고향으로 둔 아픔을 가진 이들이다. 개척민, 개척민 2세, 실향민, 고향 거주민 등 다양한 마을 사람들이 들려주는 정착의 기억은 현재 거주하는 그들 집 ...","89min","
				김 량","Korea, South/France","2013"
"939","경사 해리건","Harrigan","절망과 공포가 범죄에 시달리는 북부 잉글랜드의 한 주택지역에서 점증하고 있는 가운데 한 남자가 이 지역사회의 삶을 구제하는 일에 휘말리게 된다. 1974년 초 단전과 광부들의 파업은 영국 전역을 뒤흔든다. 모든 체계가 무너진 것처럼 보이는 마을의 유일한 희망이자 수호자는 경사 배리 해리건이다. 홍콩에 임시로 파견되었다가 경찰에 다시 합류한 해리건은 혼돈이 전염병처럼 퍼지고 있다는 것을 알아차...","96min","
				빈스 우즈","United Kingdom","2013"
"940","경유","Transit","약관의 여성감독의 데뷔작으로, 이스라엘의 필리핀 이주노동자의 불안한 삶을 담은 작품. 취업비자가 만료되어 언제 추방될지 모르는 중년여인 자넷, 일자리를 구해 이스라엘로 왔지만, 역시 추방의 위기에 처한 젊은 여성 티나, 반항적인 청소년기를 보내고 있는 자넷의 딸 야엘은 아버지가 이스라엘인으로, 정체성의 혼란을 겪고 있기도 하다. 그리고, 간병인으로 일하고 있는 싱글대디 모제스와 그의 어린 아...","92min","
				한나 에스피아","Philippines","2013"
"941","경희","Villa Triste","경희는 오늘 막 내놓은 지하 셋방을 보러 간다. 그러나 셋방 주인집 아들은 경희를 보자마자 매몰차게 내쫓는다. 방에서 가져갈 것이 있다며 애원하는 경희. 주인집 아들은 경희가 갖고 가려는 물건을 전해준다. (남동철)","9min","
				김희진","Korea, South","2013"
"942","곡상녀","Keening Woman","홍콩의 여성 독립영화 감독 리타 후이의 두 번째 장편영화이다. 비디오 아티스트로서 인간의 정신세계를 진지하게 탐색해온 그녀는 이번 영화에서는 죽은 혼령과 소통하는 여성을 등장시켜 혼령과 현실 사이의 불가사의한 교감에 대해 탐구하고 있다. 장례식장에서 일하는 미엔(미쉘 와이 분)은 춤과 울음으로 죽은 자를 위로하는 곡상녀(哭喪女)이다. 혼령과 소통하고 교감하는 능력을 가진 그녀의 곁에는 언제나...","114min","
				리타 후이","Hong Kong, China","2013"
"943","곱슬머리","Bad Hair","아홉 살 후니안은 엄마와 함께 베네수엘라 빈민가에 산다. 그는 곱슬거리는 머리가 싫어서 졸업사진을 위해 아이돌스타처럼 펴 보는 등 여러 가지 시도를 해본다. 늘 냉담한 엄마가 자신을 사랑해주길 바라지만 아무리 노력해도 소용이 없자 결국 어떤 결심을 한다.
어린 소년의 성 정체성을 소재로 삼는 이 영화에서 가장 먼저 눈에 들어오는 것은 남미 빈민가의 풍경이다. 영화 초반 앞 건물의 창문들을 ...","93min","
				마리아나 론돈","Venezuela","2013"
"944","과거를 찾아서","I'll Follow You Down","명문대 물리학 교수 가브리엘은 현대 예술가 아내인 마리카 그리고 아홉살 된 아들 에롤과 함께 행복하게 살고 있다. 어느 날 컨퍼런스 참석차 프린스턴 대학으로 출장을 간 가브리엘이 아무런 단서 없이 실종 되는 사건이 발생한다. 세월이 흘러 에롤은 아버지의 뒤를 이어 외할아버지가 교수로 재직하고 대학에서 물리학을 전공하는 대학생으로 성장한다. 하지만 어머니 마리카는 아직도 미해결로 남아있는 가브...","93min","
				리치 메타","Canada","2013"
"945","과계","Bends","이 영화는 홍콩의 신예 여성감독 플로라 라우(劉韻文)의 첫 번째 장편영화로, 제66회 칸국제영화제 ‘주목할 만한 시선’에 초청된 영화이다. 영화는 선쩐과 홍콩이라는 두 도시를 배경으로, 홍콩 상류층 주부인 리여사(리우지아링 분)와 중국 대륙 출신 자가용 운전사인 파이(천쿤 분)의 일상을 사실적으로 그리고 있다. 상류층 생활을 즐기던 리여사는 어느 날 남편의 갑작스런 파산과 잠적으로 궁핍한 일...","95min","
				플로라 라우","Hong Kong, China","2013"
"946","광기가 우리를 갈라놓을 때까지","'Til Madness Do Us Part","가감없이 거친 현실을 직시함으로서 충격을 던지는 왕빙 감독의 최근작 는 중국 윈난 성의 한 병원에 대한 다큐멘터리다. 남녀 약 200여명의 환자들은 아무도 스스로 원치 않았지만 여러가지 사정으로 병동에 수감된다. 엽기적인 살인을 한 환자도 있지만, 별다른 이유 없이 단순한 장애가 있거나 스스로 자립하지 못해서 사회에서 버려진 밑바닥 사람들이다. 아무런 희망도 ...","227min","
				왕빙","Hong Kong, China/France/Japan","2013"
